,Algorithm,Size,Memory Usage (Peak Bytes)_mean,Memory Usage (Peak Bytes)_std,Insertion CPU Time (s)_mean,Insertion CPU Time (s)_std,Total Insertion Steps_mean,Total Insertion Steps_std,Average Search Steps_mean,Average Search Steps_std,Search CPU Time (s)_mean,Search CPU Time (s)_std,Tree Height_mean,Tree Height_std,Max Search Steps_mean,Max Search Steps_std,Rotation Events_mean,Rotation Events_std,M parameter_mean,M parameter_std,Load Factor_mean,Load Factor_std,Total Collisions_mean,Total Collisions_std,Max Bucket Size_mean,Max Bucket Size_std,Min Bucket Size (non-empty)_mean,Min Bucket Size (non-empty)_std,Empty Buckets_mean,Empty Buckets_std
32,"Hash Table (M=5000, golden_ratio)",100000,15590992.0,0.0,0.5820000000000022,0.01643167672515431,,,10.96484375,0.36029730494304096,0.0,0.0,,,,,,,5000.0,0.0,19.9986,0.0,94993.0,0.0,40.0,0.0,7.0,0.0,0.0,0.0
33,"Hash Table (M=5000, golden_ratio)",500000,76552064.0,0.0,6.656000000000001,0.14345731072352513,,,50.113671875,1.6497620382087972,0.00600000000008546,0.005477225575129675,,,,,,,5000.0,0.0,99.968,0.0,494840.0,0.0,136.0,0.0,65.0,0.0,0.0,0.0
34,"Hash Table (M=5000, modulo)",50000,8009387.2,50059.3010258833,0.21199999999999902,0.02949576240750568,,,6.048828125,0.24953799473312613,0.00199999999999994,0.004472135954999445,,,,,,,5000.0,0.0,9.9996,0.0,44999.0,0.0,25.0,0.0,2.0,0.0,1.0,0.0
35,"Hash Table (M=5000, modulo)",100000,15612859.2,50059.301025883244,0.5279999999999963,0.027748873851022534,,,10.859765625,0.22081285297744566,0.00199999999999818,0.00447213595499551,,,,,,,5000.0,0.0,19.9986,0.0,94993.0,0.0,37.0,0.0,8.0,0.0,0.0,0.0
36,"Hash Table (M=5000, modulo)",500000,76552184.0,0.0,6.279999999999889,0.07516648189157048,,,52.015625,1.388384095752637,0.00800000000003816,0.004472135955020912,,,,,,,5000.0,0.0,99.968,0.0,494840.0,0.0,140.0,0.0,68.0,0.0,0.0,0.0
37,"Hash Table (M=5000, modulo)",1000000,152770856.0,,22.32000000000065,,,,104.10546875,,0.0100000000002182,,,,,,,,5000.0,,199.891,,994455.0,,253.0,,152.0,,0.0,
38,Árvore Balanceada,50000,7646060.0,2634.819158879719,1.2920000000000003,0.023874672772626424,888621.0,0.0,14.8515625,0.02744818227061581,0.00199999999999994,0.004472135954999445,18.0,0.0,18.0,0.0,34905.0,0.0,,,,,,,,,,,,
39,Árvore Balanceada,100000,15246808.0,687.4183587888745,2.934000000000001,0.1252198067399852,1878911.0,0.0,15.93203125,0.05080753526445104,0.0,0.0,20.0,0.0,19.0,0.0,69473.0,0.0,,,,,,,,,,,,
40,Árvore Balanceada,500000,76048208.0,658.3859050739163,18.121999999999996,0.21730163368001137,10570715.0,0.0,18.257421875,0.08312147548918983,0.00399999999999636,0.005477225575046677,23.0,0.0,21.8,0.44721359549995765,347972.0,0.0,,,,,,,,,,,,
41,Árvore Balanceada,1000000,152049112.0,339.4112549695428,38.71999999999997,0.32939338184001665,22163434.0,0.0,19.3171875,0.08872864372228861,0.00399999999999636,0.005477225575046677,24.0,0.0,22.8,0.44721359549995787,698812.0,0.0,,,,,,,,,,,,
42,Árvore Desbalanceada,50000,7654035.0,5577.783878925393,1.32,0.11683321445547958,1029328.0,0.0,20.5421875,0.06815818608265704,0.00399999999999988,0.005477225575051497,38.0,0.0,33.6,1.9493588689617933,,,,,,,,,,,,,,
43,Árvore Desbalanceada,100000,15255429.6,4288.535041246512,2.71,0.09924716620639612,2151213.0,0.0,21.478515625,0.2608793090990843,0.0039999999999992,0.005477225575050566,40.0,0.0,35.4,0.8944271909999161,,,,,,,,,,,,,,
44,Árvore Desbalanceada,500000,76058895.2,3276.7232412888784,16.806000000000004,0.2650094337943449,12027985.0,0.0,24.128125,0.2584243450022539,0.0079999999999984,0.004472135954998685,44.0,0.0,37.6,0.8944271909999161,,,,,,,,,,,,,,
45,Árvore Desbalanceada,1000000,152063804.0,2942.999830107216,37.20600000000003,0.6960818917340356,26077008.0,0.0,26.11171875,0.150107535916313,0.00399999999999636,0.005477225575046677,53.0,0.0,42.8,3.563705936241092,,,,,,,,,,,,,,
