Size,Iteration,M parameter,Hash Function,Memory Usage (Peak Bytes),Insertion CPU Time (s),Total Insertion Steps,Load Factor,Total Collisions,Max Bucket Size,Min Bucket Size (non-empty),Empty Buckets,Std Dev of Bucket Lengths,Search CPU Time (s),Average Search Steps
100000,4,100,golden_ratio,15196096,14.79000000000002,50186457,1000.0,99900,1066,926,0,27.00259246813165,0.03000000000002956,491.306640625
100000,4,1000,modulo,15261052,1.0199999999999818,5191843,100.0,99000,128,72,0,9.148005247047031,0.009999999999990905,50.6015625
100000,4,1000,folding,15248472,3.7900000000000205,18882217,100.0,99628,548,1,628,165.72396929834863,0.009999999999990905,193.365234375
100000,4,1000,golden_ratio,15259332,1.1399999999999864,5192684,100.0,99000,129,74,0,9.239480504876884,0.009999999999990905,48.884765625
100000,4,5000,modulo,15589692,0.5600000000000023,1194268,20.0,95000,38,8,0,4.207992395430391,0.009999999999990905,11.025390625
100000,4,5000,folding,15505496,3.659999999999968,18882217,20.0,99628,548,1,4628,84.21927807812176,0.01999999999998181,192.583984375
100000,4,5000,golden_ratio,15590212,0.6200000000000045,1194018,20.0,95000,37,6,0,4.196093421266976,0.0,11.0078125
500000,0,100,modulo,76229264,564.65,1250948602,5000.0,499900,5125,4821,0,63.02412236596397,0.2299999999999045,2617.67578125
500000,0,100,folding,76116864,565.91,1250960948,5000.0,499900,5163,4859,0,64.95352184446968,0.2300000000000182,2548.314453125
500000,0,100,golden_ratio,76116936,563.3,1250950517,5000.0,499900,5135,4791,0,63.32724532142544,0.21000000000003638,2425.9375
500000,0,1000,modulo,76236952,34.71999999999982,125970267,500.0,499000,559,427,0,20.98890182930017,0.01999999999998181,245.560546875
500000,0,1000,folding,76259416,207.24999999999977,501507784,500.0,499618,2768,1,618,866.8999757757523,0.09000000000014552,995.466796875
500000,0,1000,golden_ratio,76235296,34.25999999999976,125966444,500.0,499000,581,434,0,20.80596068438081,0.01999999999998181,251.216796875
500000,0,5000,modulo,76573692,6.9300000000000725,25965839,100.0,495000,132,68,0,9.291695216697542,0.009999999999763531,50.31640625
500000,0,5000,folding,76516440,209.68000000000006,501507784,100.0,499618,2768,1,4618,436.2374509369869,0.09000000000014552,1025.873046875
500000,0,5000,golden_ratio,76576484,7.209999999999818,25962479,100.0,495000,137,67,0,9.21908889207605,0.010000000000218279,52.52734375
500000,1,100,modulo,76116864,563.4100000000002,1250948602,5000.0,499900,5125,4821,0,63.02412236596397,0.21000000000003638,2482.53515625
500000,1,100,folding,76116864,573.1200000000001,1250960948,5000.0,499900,5163,4859,0,64.95352184446968,0.2199999999997999,2530.693359375
500000,1,100,golden_ratio,76116936,575.9099999999999,1250950517,5000.0,499900,5135,4791,0,63.32724532142544,0.21000000000003638,2416.1796875
